WT1;szerokość_w_przypadku_klawiatur
WT2;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Długość_urządzenia
WT3;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Szerokość_urządzenia
WT4;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Wysokość_urządzenia
WT5;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Średnica_urządzenia_przy_zacisku_dłoń_–_palce
WT6;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Kąt_pochylenia_płaszczyzny_uchwytu_do_wewnątrz_–_na_zewnątrz
WT7;zakres_urządzenie-uchwyt_(pod_dłonią)_i_jego_własność_Kąt_pochylenia_płaszczyzny_uchwytu_do_dołu_–_do_góry
WT8;zakres_urządzenie-ręczne_elementy_sterownicze_(pod_palcami)_i_jego_własność_Długość_urządzenia
WT9;zakres_urządzenie-ręczne_elementy_sterownicze_(pod_palcami)_i_jego_własność_Szerokość_urządzenia
WT10;zakres_urządzenie-ręczne_elementy_sterownicze_(pod_palcami)_i_jego_własność_Wysokość_urządzenia
WT11;zakres_urządzenie-ręczne_elementy_sterownicze_(pod_palcami)_i_jego_własność_Kąt_pochylenia_płaszczyzny_uchwytu_do_wewnątrz_–_na_zewnątrz
WT12;zakres_urządzenie-ręczne_elementy_sterownicze_(pod_palcami)_i_jego_własność_Kąt_pochylenia_płaszczyzny_uchwytu_do_dołu_–_do_góry
WT13;zakres_wyprofilowanie-uchwyt_(lewy_bok)_i_jego_własność_Długość_wyprofilowań
WT14;zakres_wyprofilowanie-uchwyt_(lewy_bok)_i_jego_własność_Szerokość_wyprofilowań
WT15;zakres_wyprofilowanie-uchwyt_(lewy_bok)_i_jego_własność_Głębokość_wyprofilowań_[mm]
WT16;zakres_wyprofilowanie-uchwyt_(lewy_bok)_i_jego_własność_Kierunek_wyprofilowań
WT17;zakres_wyprofilowanie-uchwyt_(lewy_bok)_i_jego_własność_Położenie_wyprofilowań
WT18;zakres_wyprofilowanie-uchwyt_(prawy_bok)_i_jego_własność_Długość_wyprofilowań
WT19;zakres_wyprofilowanie-uchwyt_(prawy_bok)_i_jego_własność_Szerokość_wyprofilowań
WT20;zakres_wyprofilowanie-uchwyt_(prawy_bok)_i_jego_własność_Głębokość_wyprofilowań_[mm]
WT21;zakres_wyprofilowanie-uchwyt_(prawy_bok)_i_jego_własność_Kierunek_wyprofilowań
WT22;zakres_wyprofilowanie-uchwyt_(prawy_bok)_i_jego_własność_Położenie_wyprofilowań
WT23;zakres_wyprofilowanie-ręczne_elementy_sterownicze_i_jego_własność_Długość_wyprofilowań
WT24;zakres_wyprofilowanie-ręczne_elementy_sterownicze_i_jego_własność_Szerokość_wyprofilowań
WT25;zakres_wyprofilowanie-ręczne_elementy_sterownicze_i_jego_własność_Głębokość_wyprofilowań_[mm]
WT26;zakres_wyprofilowanie-ręczne_elementy_sterownicze_i_jego_własność_Kierunek_wyprofilowań
WT27;zakres_wyprofilowanie-ręczne_elementy_sterownicze_i_jego_własność_Położenie_wyprofilowań
WT28;zakres_ręczne_elementy_sterownicze_i_jego_własność_Położenie_RES
WT29;zakres_ręczne_elementy_sterownicze_i_jego_własność_Długość_RES
WT30;zakres_ręczne_elementy_sterownicze_i_jego_własność_Szerokość_RES
WT31;zakres_ręczne_elementy_sterownicze_i_jego_własność_Wysokość_RES_–_obudowa_dla_pozostałych_RES_i_małych_joy.
WT32;zakres_ręczne_elementy_sterownicze_i_jego_własność_Wysokość_RES_–_obudowa_dla_dużych_joysticków
WT33;zakres_ręczne_elementy_sterownicze_i_jego_własność_Siła_niezbędna_do_aktywacji_RES_[N]
WT34;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_X_dla_małych_odległości
WT35;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_X_dla_dużych_odległości
WT36;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_Y_dla_małych_odległości
WT37;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_Y_dla_dużych_odległości
WT38;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_Z_dla_małych_odległości
WT39;zakres_ręczne_elementy_sterownicze-ręczne_elementy_sterownicze_i_jego_własność_Odległość_RES_–_RES_oś_Z_dla_dużych_odległości
WT40;zakres_pozostałe_cechy_i_jego_własność_Masa_[g]_dla_myszy,_gamepada_itp.
WT41;zakres_pozostałe_cechy_i_jego_własność_Masa_[g]_dla_klawiatur,_joysticka_itp.
WT42;zakres_pozostałe_cechy_i_jego_własność_Rodzaj_interfejsu/zasilanie
WT43;zakres_pozostałe_cechy_i_jego_własność_Wielkość_przełożenia_układu_sterowania
WT44;zakres_pozostałe_cechy_i_jego_własność_Możliwość_doboru_DPI
WT45;zakres_pozostałe_cechy_i_jego_własność_Liczba_RES_dla_urządzeń_jednoręcznych_i_mniejszych
WT46;zakres_pozostałe_cechy_i_jego_własność_Liczba_RES_dla_klawiatur
WT47;zakres_pozostałe_cechy_i_jego_własność_Forma_urządzenia
WT48;zakres_pozostałe_cechy_i_jego_własność_Elementy_informacyjne_RES
WT49;zakres_pozostałe_cechy_i_jego_własność_Elementy_informacyjne_uchwytu
WT50;zakres_pozostałe_cechy_i_jego_własność_Kolorystyka_+_kolorystyka_podświetlenia
WT51;zakres_pozostałe_cechy_i_jego_własność_Podświetlenie_obudowy
WT52;zakres_pozostałe_cechy_i_jego_własność_Podświetlenie_RES
WT53;zakres_pozostałe_cechy_i_jego_własność_Materiały
WT54;zakres_pozostałe_cechy_i_jego_własność_Materiał_antypoślizgowy_obudowy
WT55;zakres_pozostałe_cechy_i_jego_własność_Materiał_antypoślizgowy_RES
WT56;zakres_pozostałe_cechy_i_jego_własność_Temperatura_obudowy_i_RES_(stopnie_Celsjusza)
